Date,PPI Input Index,Fuel Input Index,Black Metal Input Index,Base Metal Input Index,Chemical Input Index,Wood and Pulp Input Index,Construction and Non-metal Material Input Index,Other Raw Material Input Index,Subsidiary Agricultural Products Input Index,Fabric Raw Material Input Index
2026-04-01,109.057020651256,117.350279344111,97.3935450403004,170.353067178762,106.155757597403,98.3968994105249,87.7432795515139,101.378501729002,97.7904183534322,103.213755986455
2026-03-01,106.911152253972,110.741623551054,96.8175481156223,170.677818437563,98.8912324480852,98.3370863455029,88.7130572813237,101.313777363651,97.5245318925651,101.89286723836
2026-02-01,105.642084643128,106.996241686273,96.632915732034,168.419292787575,95.9145985764041,98.4663154948969,88.8618896309025,101.119033282072,98.0358016212288,100.795873401301
2026-01-01,105.799650751142,109.865063985528,97.9133889401772,163.092771773769,95.9128775631733,99.3791995252444,89.3617947572666,100.968702023842,98.3753314559879,101.19510074652
2025-12-01,103.807244818229,107.686618134167,96.9453785882664,152.136171431896,95.1870800643371,98.6917332514538,88.5207852949735,100.412072733225,96.3132707141178,101.002731561751
2025-11-01,103.354539051575,106.030327308216,97.4019782167608,148.541590298316,95.3101243043004,98.7666917565153,88.4460502261358,100.274284867285,96.2529732559328,101.017748220342
2025-10-01,103.214097865821,105.945916220968,97.3607246263992,145.97574046302,95.7408452011027,98.3650192243182,88.3069451985694,100.149129804858,96.5669985020697,101.199930629365
2025-09-01,103.108616727125,106.107508058869,97.0071694354352,142.577695037431,96.2646852786925,98.0694007158368,88.4994186843025,100.024100011189,97.912457521367,101.307185845577
2025-08-01,102.853339916213,105.521801524179,96.3383242666336,140.694464652664,96.3705803922098,98.3330853346501,88.9032307615876,99.9404224594393,98.1477002900378,101.240846851108
2025-07-01,102.73572143953,104.536089130429,95.4540490948046,140.240661639996,96.5049699345513,98.6189291446095,90.1096874981487,99.9511813300822,98.5169591408594,100.974780746121
2025-06-01,102.990067293012,105.239526695581,95.7406506507988,138.682834699635,96.9231209449762,98.9877372860847,91.205935438669,100.113340547667,98.7922266924593,101.063215153465
