Date,PPI Output Index,PPI Output - Means of Production Index,PPI Output - Means of Subsistence Index
2026-05-01,105.989172704438,108.333295714222,98.122576828578
2026-04-01,105.3502609745,107.516146625352,97.9834213133538
2026-03-01,103.515371990466,105.244017674925,98.0142460888677
2026-02-01,102.501564135118,103.920786983415,98.1491469987531
2026-01-01,102.103836080015,103.439742470216,98.2211551710128
2025-12-01,101.727274217243,102.885254924686,98.3456926870216
2025-11-01,101.518517077871,102.589267985805,98.3198564394249
2025-10-01,101.446704262618,102.471370013697,98.3836079898649
2025-09-01,101.335250710784,102.351184831546,98.4253185847951
2025-08-01,101.353505229556,102.328900149715,98.5944020952489
2025-07-01,101.387141633555,102.202318012036,98.7101047196085
2025-06-01,101.636342707569,102.407527770473,98.9260879392491
2025-05-01,102.118703685759,103.039764046306,99.0541656691554
2025-04-01,102.55387999484,103.639837384014,99.0410209938675
2025-03-01,102.989218113894,104.174532807574,99.2679780405076
2025-02-01,103.421671892938,104.616951444374,99.6718890513145
2025-01-01,103.52280816016,104.842759616132,99.6930538782472
2024-12-01,103.703358126869,105.080157364258,99.6672025680023
2024-11-01,103.77186420129,105.127760848258,99.7523907502385
2024-10-01,103.633118042637,105.009430339157,99.7382326520637
2024-09-01,103.702145539419,104.890849911247,100.156077190775
2024-08-01,104.345899923333,105.736859472501,100.282207096245
2024-07-01,105.125739880661,106.794068243617,100.296721215291
2024-06-01,105.35524537772,107.10620301142,100.301282327598
2024-05-01,105.577810648042,107.35576013844,100.4739455826
2024-04-01,105.375641056776,106.941191562942,100.622560877346
2024-03-01,105.610718997355,107.150804502626,100.774370137976
2024-02-01,105.750570995784,107.282901324973,100.861056907269
2024-01-01,105.987374523751,107.613472466873,100.930065980255
2023-12-01,106.180781900358,107.836297618336,101.097126548191
2023-11-01,106.468694607077,108.281237823912,101.183112422326
2023-10-01,106.763947159006,108.607156067381,101.342492298898
2023-09-01,106.671261887906,108.470253594388,101.449067368187
2023-08-01,106.213788335203,107.905705493695,101.382904931445
2023-07-01,105.95458152657,107.556145100551,101.305212225236
2023-06-01,106.193382791021,107.934836093425,101.037392155423
2023-05-01,107.068183526567,109.08797149155,101.235839565253
2023-04-01,108.053112363273,110.367265461573,101.484889996826
2023-03-01,108.617919310619,111.011389203735,101.806610530899
2023-02-01,108.65955006872,111.050901242725,101.809261251527
2023-01-01,108.724439703533,110.934350423348,102.088169530249
2022-12-01,109.159584046722,111.392141805824,102.340408690768
2022-11-01,109.787354532602,112.092278518266,102.455888188615
2022-10-01,109.709068203394,111.995451842041,102.257685466172
2022-09-01,109.439877217711,111.850797080012,101.719003911734
2022-08-01,109.547511320396,112.079540448117,101.562417259948
2022-07-01,110.803521995502,113.872162383122,101.676626625083
2022-06-01,112.235864189944,115.860159207841,101.549162235903
2022-05-01,112.217749162612,115.975647935244,101.291049963638
2022-04-01,112.065762461078,115.833378861106,101.06433196648
2022-03-01,111.3602959513,114.87771963224,100.895896739614
2022-02-01,110.136572448181,113.322977256816,100.728602850045
2022-01-01,109.602755742471,112.610060598277,100.63344984808
2021-12-01,109.849698221052,112.945799963986,100.618704292041
2021-11-01,111.201551969207,114.830199789654,100.541012966267
