时间,CPI(YOY),食品烟酒类CPI(YOY),食品类CPI(YOY),烟酒及用品类CPI(YOY),衣着类CPI(YOY),居住类CPI(YOY),生活用品及服务类CPI(YOY),交通和通信类CPI(YOY),教育文化和娱乐类CPI(YOY),医疗保健类CPI(YOY),其他用品和服务类CPI(YOY),CPI(MOM),食品烟酒类CPI(MOM),食品类CPI(MOM),烟酒及用品类CPI(MOM),衣着类CPI(MOM),居住类CPI(MOM),生活用品及服务类CPI(MOM),交通和通信类CPI(MOM),教育文化和娱乐类CPI(MOM),医疗保健类CPI(MOM),其他用品和服务类CPI(MOM)
2006-08-01,1.3,,1.4,0.6,-0.5,4.8,,0.1,,,
2006-07-01,1,,0.6,0.5,-0.6,4.5,,0.3,,,
2006-06-01,1.5,,2.1,0.5,-0.5,4.3,,0.4,,,
2006-05-01,1.4,,1.9,0.4,-0.4,4.5,,-0.2,,,
2006-04-01,1.2,,1.8,0.4,-0.5,4.3,,-0.6,,,
2006-03-01,0.8,,0.8,0.2,-0.8,4.6,,-0.7,,,
2006-02-01,0.9,,1.2,0.2,-1.4,5.2,,-1,,,
2006-01-01,1.9,,3.6,0.2,-1.6,5.2,,-0.5,,,
2005-12-01,1.6,,2.2,0.4,-0.9,5,,-0.3,,,
2005-11-01,1.3,,1.6,0.3,-1,4.7,,-0.3,,,
2005-10-01,1.2,,1.3,0.4,-1.1,4.8,,-0.4,,,
2005-09-01,0.9,,0.3,0.3,-1.4,5.2,,-0.6,,,
2005-08-01,1.3,,0.9,0.3,-1.6,5.2,,-0.7,,,
2005-07-01,1.8,,2.3,0.3,-1.8,5.9,,-1,,,
2005-06-01,1.6,,2.1,0.3,-1.9,5.8,,-1.3,,,
2005-05-01,1.8,,2.8,0.4,-2.2,5.8,,-1.4,,,
2005-04-01,1.8,,3.1,0.6,-2.4,5.8,,-1.4,,,
2005-03-01,2.7,,5.6,0.6,-2.5,5.8,,-1.2,,,
2005-02-01,3.9,,8.8,0.6,-1.9,5.6,,-0.6,,,
2005-01-01,1.9,,4,0.5,-1.6,5.5,,-2.6,,,
2004-12-01,2.4,,4.9,0.7,-1.7,5.6,,-1.4,,,
2004-11-01,2.8,,5.9,1.1,-1.8,6.3,,-1.3,,,
2004-10-01,4.3,,10,1.4,-1.8,6.8,,-1.3,,,
2004-09-01,5.2,,13,1.5,-1.6,6.4,,-1.2,,,
2004-08-01,5.3,,13.9,1.6,-1.7,6,,-1.2,,,
2004-07-01,5.3,,14.6,1.6,-1.6,5,,-1.2,,,
2004-06-01,5,,14,1.5,-1.5,4.9,,-1.3,,,
2004-05-01,4.4,,11.8,1.4,-1.4,4.6,,-1.3,,,
2004-04-01,3.8,,10.2,1.1,-1.3,3.8,,-1.6,,,
2004-03-01,3,,7.9,1,-1,3.2,,-2,,,
2004-02-01,2.1,,5.6,0.9,-1.3,3,,-2.6,,,
2004-01-01,3.2,,8,1,-1.6,2.8,,-1.3,,,
2003-12-01,3.2,,8.6,0.8,-1.8,3.5,,-2.3,,,
2003-11-01,3,,8.1,0.4,-1.7,3.1,,-2.5,,,
2003-10-01,1.8,,5.1,0.1,-1.8,2.3,,-2.5,,,
2003-09-01,1.1,,3.2,-0.1,-2,1.9,,-2.3,,,
2003-08-01,0.9,,2.2,-0.1,-1.9,2.2,,-2.3,,,
2003-07-01,0.5,,1,-0.2,-2,2.3,,-2.4,,,
2003-06-01,0.3,,0.4,-0.2,-2.2,2.1,,-2.3,,,
2003-05-01,0.7,,1.9,-0.6,-2.4,1.8,,-2.4,,,
2003-04-01,1,,3.2,-0.5,-2.3,1.9,,-2,,,
2003-03-01,0.9,,3.2,-0.6,-2.6,2.1,,-2,,,
2003-02-01,0.2,,1.8,-0.5,-2.9,0.9,,-2,,,
2003-01-01,0.4,,2.4,-0.5,-2.9,1,,-1.3,,,
2002-12-01,-0.4,,0.5,-0.6,-2.9,0.2,,-1.8,,,
2002-11-01,-0.7,,-0.1,-0.5,-2.9,0,,-2,,,
2002-10-01,-0.8,,-0.5,-0.5,-2.8,0,,-2,,,
2002-09-01,-0.7,,-0.2,-0.3,-2.6,-0.1,,-2.1,,,
2002-08-01,-0.7,,-0.4,-0.1,-2.5,-0.4,,-2.1,,,
2002-07-01,-0.9,,-0.9,0,-2.4,-0.5,,-2.3,,,
2002-06-01,-0.8,,-0.2,0,-2.2,-0.5,,-2.4,,,
2002-05-01,-1.1,,-1.5,0.3,-1.9,-0.3,,-2.1,,,
2002-04-01,-1.3,,-2,0.2,-2.2,-0.2,,-1.9,,,
2002-03-01,-0.8,,-0.6,0.3,-2.2,-0.3,,-0.9,,,
2002-02-01,0,,0.6,0.2,-2,0.6,,-0.5,,,
2002-01-01,-1,,-1.9,0.2,-1.8,0.6,,-2.7,,,
2001-12-01,-0.3,,-0.8,0.1,-1.7,0.7,,-1.2,,,
2001-11-01,-0.3,,-0.8,0.2,-1.7,0.6,,-1.1,,,
2001-10-01,0.2,,0.8,0.1,-1.9,0.6,,-1,,,
2001-09-01,-0.1,,0.3,-0.1,-2,-0.3,,-1,,,
2001-08-01,1,,0.2,-0.4,-2.3,0.5,,-0.7,,,
2001-07-01,1.5,,1.5,-0.5,-1.8,0.7,,-0.7,,,
2001-06-01,1.4,,1,-0.5,-1.7,1,,-0.4,,,
2001-05-01,1.7,,1.7,-0.4,-1.8,1.2,,-0.7,,,
2001-04-01,1.6,,1.3,-0.4,-2,1.6,,-1.1,,,
2001-03-01,0.8,,-1,-0.5,-2.2,2.2,,-2,,,
2001-02-01,0,,-3.3,-0.5,-2.1,2.4,,-1.7,,,
2001-01-01,1.2,,-0.4,-0.5,-1.3,2.5,,-0.5,,,
2000-12-01,1.5,,-0.1,,-0.2,5.2,,-6.2,,,
2000-11-01,1.3,,-1,,-0.1,5.5,,-6.2,,,
2000-10-01,0,,-3.7,,-0.3,5,,-6.4,,,
2000-09-01,0,,-3.7,,-0.5,4.6,,-6.3,,,
2000-08-01,0.3,,-2.6,,-0.9,4.4,,-6.3,,,
2000-07-01,0.5,,-2.4,,-0.7,5.4,,-6.3,,,
2000-06-01,0.5,,-2.4,,-0.9,5.9,,-6.4,,,
2000-05-01,0.1,,-3.1,,-1.1,5.9,,-6.2,,,
2000-04-01,-0.3,,-3.9,,-1.2,5,,-6.3,,,
2000-03-01,-0.2,,-3.3,,-1.5,4.1,,-6.2,,,
2000-02-01,0.7,,-1.4,,-1.7,3.6,,-5.8,,,
2000-01-01,-0.2,,-3.1,,-1.8,3.4,,-5.8,,,
1999-12-01,-1,,-4.4,,-2.5,2.9,,-5.9,,,
1999-11-01,-0.9,,-3.9,,-2.5,2.5,,-5.9,,,
1999-10-01,-0.6,,-3.3,,-2.6,2.8,,-5.7,,,
1999-09-01,-0.8,,-3.7,,-2.7,3.4,,-5.9,,,
1999-08-01,-1.3,,-3.4,,-3.1,3.4,,-5.8,,,
1999-07-01,-1.4,,-3.5,,-3.2,2,,-5.8,,,
1999-06-01,-2.1,,-5.1,,-3.1,1,,-5.7,,,
1999-05-01,-2.2,,-5.4,,-3,0.9,,-5.4,,,
1999-04-01,-2.2,,-5.5,,-2.8,0.5,,-5.1,,,
1999-03-01,-1.8,,-4.9,,-2.7,0.3,,-4.8,,,
1999-02-01,-1.3,,-3.7,,-2.4,0.4,,-5,,,
1999-01-01,-1.2,,-3.6,,-2.1,0.6,,-4.7,,,
1998-12-01,-1,,-2.8,,-2.1,0,,-4.3,,,
1998-11-01,-1.2,,-3.3,,-1.9,0.1,,-4.5,,,
1998-10-01,-1.1,,-3.2,,-1.7,0.3,,-4.6,,,
1998-09-01,-1.5,,-3.9,,-1.8,0.3,,-4.7,,,
1998-08-01,-1.4,,-4.1,,-1.4,0,,-4.6,,,
1998-07-01,-1.4,,-4.2,,-1.2,0.2,,-4.6,,,
1998-06-01,-1.3,,-4.2,,-0.8,0.7,,-4.6,,,
1998-05-01,-1,,-3.9,,-0.4,1.7,,-4.3,,,
1998-04-01,-0.3,,-2.8,,0,3.3,,-4,,,
1998-03-01,0.7,,-0.8,,0.1,4.1,,-3.9,,,
1998-02-01,-0.1,,-2.9,,0.3,4.7,,-3.6,,,
1998-01-01,0.3,,-2.3,,0.8,4.7,,-3.3,,,
1997-12-01,0.4,,-2.9,,1.9,5.2,,-2.9,,,
1997-11-01,1.1,,-2.2,,1.8,6,,-2.8,,,
1997-10-01,1.5,,-1.8,,2,6.6,,-2.7,,,
1997-09-01,1.8,,-1.2,,2.3,7,,-2.5,,,
1997-08-01,1.9,,-1.4,,2.5,7.6,,-2.5,,,
1997-07-01,2.7,,0,,2.6,8.1,,-2.3,,,
1997-06-01,2.8,,0,,2.9,7.9,,-2.5,,,
1997-05-01,2.8,,-0.3,,3.2,8.2,,-2.6,,,
1997-04-01,3.2,,0.1,,3.7,8.3,,-2.6,,,
1997-03-01,4,,1.2,,4,10.4,,-2.6,,,
1997-02-01,5.6,,3.5,,4.3,11.7,,-2.7,,,
1997-01-01,5.9,,3.7,,4.9,12.2,,-2.4,,,
1996-12-01,7,,5,,5.9,12,,-2,,,
1996-11-01,6.9,,5.4,,6.5,11.3,,-1.9,,,
1996-10-01,7,,5.7,,8.3,11,,-1.6,,,
1996-09-01,7.4,,5.9,,6.6,11.2,,-1.3,,,
1996-08-01,8.1,,7.6,,6.5,11,,-1.2,,,
1996-07-01,8.3,,7.8,,6.8,11.3,,-1.2,,,
1996-06-01,8.6,,7.9,,7,12.3,,-1,,,
1996-05-01,8.9,,8.5,,7.5,12.3,,-1,,,
1996-04-01,9.7,,10,,7.8,12.1,,-1,,,
1996-03-01,9.8,,10,,8.3,11.2,,-0.7,,,
1996-02-01,9.3,,9.3,,9.6,10.7,,-0.5,,,
1996-01-01,9,,8.2,,10.2,10.3,,-1,,,
1995-12-01,10.1,,10,,11.3,11.2,,-0.4,,,
1995-11-01,11.2,,12,,11.8,10.5,,-0.2,,,
1995-10-01,12.1,,13.9,,12,10.3,,-0.5,,,
1995-09-01,13.2,,16.1,,12.6,10.1,,-0.3,,,
1995-08-01,14.5,,17.9,,13.2,10.7,,-0.5,,,
1995-07-01,16.7,,22.2,,14,10.9,,-0.3,,,
1995-06-01,18.2,,25.3,,14.8,10.1,,-0.3,,,
1995-05-01,20.3,,29.2,,15.4,10.7,,-0.6,,,
1995-04-01,20.7,,30,,15.9,10.3,,-0.5,,,
1995-03-01,21.3,,30.6,,17,10.1,,-0.3,,,
1995-02-01,22.4,,32.1,,17.7,11.1,,0.6,,,
1995-01-01,24.1,,35.7,,17.8,11.3,,1.1,,,
1994-12-01,25.5,,,,,,,,,,
1994-11-01,27.5,,,,,,,,,,
1994-10-01,27.7,,,,,,,,,,
1994-09-01,27.3,,,,,,,,,,
1994-08-01,25.8,,,,,,,,,,
1994-07-01,24,,,,,,,,,,
1994-06-01,22.6,,,,,,,,,,
1994-05-01,21.3,,,,,,,,,,
1994-04-01,21.7,,,,,,,,,,
1994-03-01,22.4,,,,,,,,,,
1994-02-01,23.2,,,,,,,,,,
1994-01-01,21.1,,,,,,,,,,
1993-12-01,18.8,,,,,,,,,,
1993-11-01,16.7,,,,,,,,,,
1993-10-01,15.9,,,,,,,,,,
1993-09-01,15.7,,,,,,,,,,
1993-08-01,16.4,,,,,,,,,,
1993-07-01,16.2,,,,,,,,,,
1993-06-01,15.1,,,,,,,,,,
1993-05-01,14,,,,,,,,,,
1993-04-01,12.6,,,,,,,,,,
1993-03-01,12.2,,,,,,,,,,
1993-02-01,10.8,,,,,,,,,,
1993-01-01,10.3,,,,,,,,,,
1992-12-01,8.8,,,,,,,,,,
1992-11-01,8.2,,,,,,,,,,
1992-10-01,7.9,,,,,,,,,,
1992-09-01,7.5,,,,,,,,,,
1992-08-01,5.8,,,,,,,,,,
1992-07-01,5.2,,,,,,,,,,
1992-06-01,4.8,,,,,,,,,,
1992-05-01,4.7,,,,,,,,,,
1992-04-01,7.1,,,,,,,,,,
1992-03-01,5.3,,,,,,,,,,
1992-02-01,5.3,,,,,,,,,,
1992-01-01,5.5,,,,,,,,,,
1991-12-01,4.5,,,,,,,,,,
1991-11-01,4.4,,,,,,,,,,
1991-10-01,4.8,,,,,,,,,,
1991-09-01,4.5,,,,,,,,,,
1991-08-01,4.9,,,,,,,,,,
1991-07-01,4.7,,,,,,,,,,
1991-06-01,4.4,,,,,,,,,,
1991-05-01,3.6,,,,,,,,,,
1991-04-01,1.3,,,,,,,,,,
1991-03-01,1.6,,,,,,,,,,
1991-02-01,1.8,,,,,,,,,,
1991-01-01,2.2,,,,,,,,,,
1990-12-01,4.3,,,,,,,,,,
1990-11-01,3.7,,,,,,,,,,
1990-10-01,3.1,,,,,,,,,,
1990-09-01,2.9,,,,,,,,,,
1990-08-01,2.5,,,,,,,,,,
1990-07-01,1.1,,,,,,,,,,
1990-06-01,1.1,,,,,,,,,,
1990-05-01,2.7,,,,,,,,,,
1990-04-01,3.2,,,,,,,,,,
1990-03-01,3.4,,,,,,,,,,
1990-02-01,4.4,,,,,,,,,,
1990-01-01,4.3,,,,,,,,,,
1989-12-01,6.6,,,,,,,,,,
1989-11-01,7.4,,,,,,,,,,
1989-10-01,8.6,,,,,,,,,,
1989-09-01,11.5,,,,,,,,,,
1989-08-01,15.3,,,,,,,,,,
1989-07-01,19.4,,,,,,,,,,
1989-06-01,22.8,,,,,,,,,,
1989-05-01,24.8,,,,,,,,,,
1989-04-01,26.6,,,,,,,,,,
1989-03-01,27.1,,,,,,,,,,
1989-02-01,28.4,,,,,,,,,,
1989-01-01,27.4,,,,,,,,,,
1988-12-01,27.9,,,,,,,,,,
1988-11-01,26.8,,,,,,,,,,
1988-10-01,27.1,,,,,,,,,,
1988-09-01,26.4,,,,,,,,,,
1988-08-01,23.6,,,,,,,,,,
1988-07-01,19.2,,,,,,,,,,
1988-06-01,16.3,,,,,,,,,,
1988-05-01,14.2,,,,,,,,,,
1988-04-01,12.2,,,,,,,,,,
1988-03-01,11.3,,,,,,,,,,
1988-02-01,10.4,,,,,,,,,,
1988-01-01,9.4,,,,,,,,,,
1987-12-01,8.9,,,,,,,,,,
1987-11-01,8.3,,,,,,,,,,
1987-10-01,7.5,,,,,,,,,,
1987-09-01,7.7,,,,,,,,,,
1987-08-01,8.2,,,,,,,,,,
1987-07-01,7.8,,,,,,,,,,
1987-06-01,7.8,,,,,,,,,,
1987-05-01,7.6,,,,,,,,,,
1987-04-01,6.7,,,,,,,,,,
1987-03-01,5.8,,,,,,,,,,
1987-02-01,5.4,,,,,,,,,,
1987-01-01,5.1,,,,,,,,,,
