Date,Gold,DXY,US 10y yield,CN 10y yield,DE 10y yield,SPX,US 2y yield,CN 2y yield,DE 2y yield
2022-04-07,1932.17,99.75,2.665,2.786,0.68,4500.21,2.468,2.238,-0.031
2022-04-08,1945.85,99.8,2.704,2.79,0.71,4488.28,2.516,2.239,0.05
2022-04-11,1953.43,99.93,2.774,2.811,0.813,4412.53,2.5,2.257,0.132
2022-04-12,1966.59,100.29,2.727,2.814,0.79,4397.45,2.405,2.262,0.069
2022-04-13,1977.72,99.88,2.703,2.815,0.775,4446.59,2.365,2.253,0.074
2022-04-14,1973.52,100.32,2.828,2.807,0.839,4392.59,2.456,2.223,0.056
2022-04-15,1974.54,100.32,NA,2.817,0.8395,NA,NA,NA,NA
2022-04-18,1978.50,100.78,2.857,2.851,0.8395,4391.69,2.446,2.215,0.038
2022-04-19,1949.84,100.96,2.94,2.852,0.918,4462.21,2.598,2.205,0.058
2022-04-20,1957.41,100.39,2.834,2.862,0.862,4459.45,2.575,2.223,0.051
2022-04-21,1951.49,100.58,2.908,2.853,0.925,4393.66,2.674,2.208,0.171
2022-04-22,1929.73,101.22,2.905,2.878,0.963,4271.78,2.678,2.195,0.281
2022-04-25,1897.69,101.75,2.818,2.821,0.848,4296.12,2.628,2.281,0.147
2022-04-26,1905.56,102.3,2.728,2.833,0.802,4175.2,2.481,2.288,0.128
2022-04-27,1886.12,102.95,2.826,2.843,0.81,4183.96,2.591,2.312,0.098
2022-04-28,1894.34,103.62,2.832,2.85,0.895,4287.5,2.629,2.347,0.186
2022-04-29,1896.40,102.96,2.938,2.841,0.935,4131.93,2.731,2.333,0.258
2022-05-02,1862.77,103.74,2.977,NA,0.963,4155.38,2.731,NA,0.232
2022-05-03,1867.79,103.46,2.979,NA,0.954,4175.48,2.784,NA,0.248
2022-05-04,1880.92,102.59,2.946,NA,0.978,4300.17,2.654,NA,0.281
2022-05-05,1876.84,103.75,3.035,2.832,1.048,4152.38,2.712,2.332,0.293
2022-05-06,1882.96,103.66,3.142,2.834,1.137,4123.34,2.735,2.34,0.332
2022-05-09,1853.92,103.65,3.034,2.823,1.088,3991.24,2.598,2.314,0.223
2022-05-10,1838.14,103.92,2.989,2.811,1.003,4001.05,2.606,2.285,0.162
2022-05-11,1852.12,103.85,2.925,2.828,1.004,3935.18,2.647,2.293,0.154
2022-05-12,1821.72,104.85,2.855,2.815,0.869,3930.08,2.58,2.278,0.061
2022-05-13,1811.15,104.56,2.928,2.818,0.947,4023.89,2.588,2.271,0.104
2022-05-16,1823.79,104.19,2.886,2.828,0.937,4008.01,2.574,2.258,0.129
2022-05-17,1814.67,103.36,2.995,2.822,1.056,4088.85,2.711,2.234,0.26
2022-05-18,1815.61,103.81,2.884,2.808,1.012,3923.68,2.667,2.212,0.371
2022-05-19,1841.72,102.72,2.837,2.811,0.94,3900.79,2.612,2.227,0.355
2022-05-20,1845.68,103.15,2.788,2.822,0.942,3901.36,2.587,2.24,0.337
2022-05-23,1853.22,102.08,2.861,2.805,1.02,3973.75,2.629,2.216,0.409
2022-05-24,1865.90,101.86,2.754,2.801,0.954,3941.48,2.481,2.221,0.362
2022-05-25,1852.83,102.06,2.751,2.782,0.955,3978.73,2.502,2.223,0.331
2022-05-26,1850.02,101.83,2.742,2.747,0.999,4057.84,2.478,2.178,0.33
2022-05-27,1852.73,101.67,2.743,2.75,0.963,4158.24,2.484,2.186,0.338
2022-05-30,1856.21,101.67,2.812,2.76,1.044,NA,2.571,2.204,0.436
2022-05-31,1837.09,101.75,2.849,2.803,1.127,4132.15,2.563,2.235,0.508
2022-06-01,1845.55,102.5,2.911,2.8,1.181,4101.23,2.648,2.233,0.548
2022-06-02,1868.13,101.82,2.913,2.808,1.235,4176.82,2.632,2.245,0.619
2022-06-03,1850.77,102.14,2.941,NA,1.27,4108.54,2.657,NA,0.65
2022-06-06,1841.00,102.44,3.04,2.822,1.322,4121.43,2.732,2.28,0.686
2022-06-07,1851.97,102.32,2.979,2.812,1.287,4160.68,2.735,2.279,0.653
