Date,NFP_monthly_change
1967-09-01,21
1967-10-01,61
1967-11-01,478
1967-12-01,197
1968-01-01,-96
1968-02-01,411
1968-03-01,80
1968-04-01,261
1968-05-01,96
1968-06-01,253
1968-07-01,221
1968-08-01,204
1968-09-01,154
1968-10-01,237
1968-11-01,263
1968-12-01,264
1969-01-01,191
1969-02-01,260
1969-03-01,206
1969-04-01,167
1969-05-01,256
1969-06-01,308
1969-07-01,93
1969-08-01,279
1969-09-01,-94
1969-10-01,207
1969-11-01,-35
1969-12-01,155
1970-01-01,-65
1970-02-01,129
1970-03-01,146
1970-04-01,-103
1970-05-01,-224
1970-06-01,-95
1970-07-01,24
1970-08-01,-116
1970-09-01,7
1970-10-01,-423
1970-11-01,-112
1970-12-01,383
1971-01-01,73
1971-02-01,-58
1971-03-01,53
1971-04-01,176
1971-05-01,211
1971-06-01,7
1971-07-01,61
1971-08-01,58
1971-09-01,241
1971-10-01,28
1971-11-01,205
1971-12-01,262
1972-01-01,332
1972-02-01,207
1972-03-01,296
1972-04-01,218
1972-05-01,307
1972-06-01,289
1972-07-01,-49
1972-08-01,432
1972-09-01,123
1972-10-01,410
1972-11-01,299
1972-12-01,295
1973-01-01,349
1973-02-01,397
1973-03-01,270
1973-04-01,171
1973-05-01,193
1973-06-01,239
1973-07-01,26
1973-08-01,255
1973-09-01,108
1973-10-01,331
1973-11-01,313
1973-12-01,111
1974-01-01,69
1974-02-01,154
1974-03-01,42
1974-04-01,86
1974-05-01,167
1974-06-01,55
1974-07-01,32
1974-08-01,-17
1974-09-01,-9
1974-10-01,20
1974-11-01,-365
1974-12-01,-613
1975-01-01,-359
1975-02-01,-375
1975-03-01,-270
1975-04-01,-188
1975-05-01,164
1975-06-01,-103
1975-07-01,249
1975-08-01,383
1975-09-01,75
1975-10-01,312
1975-11-01,145
1975-12-01,332
1976-01-01,486
1976-02-01,313
1976-03-01,232
1976-04-01,244
1976-05-01,20
1976-06-01,64
1976-07-01,171
1976-08-01,157
1976-09-01,188
1976-10-01,19
1976-11-01,329
1976-12-01,208
1977-01-01,242
1977-02-01,298
1977-03-01,403
1977-04-01,337
1977-05-01,360
1977-06-01,400
1977-07-01,346
1977-08-01,241
1977-09-01,457
1977-10-01,268
1977-11-01,373
1977-12-01,237
1978-01-01,184
1978-02-01,354
1978-03-01,512
1978-04-01,702
1978-05-01,347
1978-06-01,441
1978-07-01,254
1978-08-01,279
1978-09-01,138
1978-10-01,335
1978-11-01,435
1978-12-01,280
1979-01-01,137
1979-02-01,247
1979-03-01,424
1979-04-01,-62
1979-05-01,372
1979-06-01,319
1979-07-01,109
1979-08-01,83
1979-09-01,27
1979-10-01,154
1979-11-01,92
1979-12-01,99
1980-01-01,128
1980-02-01,83
1980-03-01,111
1980-04-01,-145
1980-05-01,-429
1980-06-01,-319
1980-07-01,-261
1980-08-01,259
1980-09-01,114
1980-10-01,277
1980-11-01,257
1980-12-01,196
1981-01-01,90
1981-02-01,72
1981-03-01,105
1981-04-01,73
1981-05-01,13
1981-06-01,194
1981-07-01,111
1981-08-01,-36
1981-09-01,-88
1981-10-01,-97
1981-11-01,-209
1981-12-01,-276
1982-01-01,-330
1982-02-01,-2
1982-03-01,-129
1982-04-01,-284
1982-05-01,-43
1982-06-01,-242
1982-07-01,-344
1982-08-01,-158
1982-09-01,-180
1982-10-01,-276
1982-11-01,-121
1982-12-01,-15
1983-01-01,219
1983-02-01,-73
1983-03-01,173
1983-04-01,274
1983-05-01,280
1983-06-01,377
1983-07-01,416
1983-08-01,-308
1983-09-01,1118
1983-10-01,273
1983-11-01,355
1983-12-01,355
1984-01-01,443
1984-02-01,484
1984-03-01,272
1984-04-01,363
1984-05-01,306
1984-06-01,381
1984-07-01,310
1984-08-01,243
1984-09-01,312
1984-10-01,285
1984-11-01,353
1984-12-01,125
1985-01-01,265
1985-02-01,131
1985-03-01,339
1985-04-01,196
1985-05-01,274
1985-06-01,147
1985-07-01,189
1985-08-01,192
1985-09-01,205
1985-10-01,188
1985-11-01,210
1985-12-01,166
1986-01-01,123
1986-02-01,115
1986-03-01,87
1986-04-01,187
1986-05-01,127
1986-06-01,-93
1986-07-01,318
1986-08-01,115
1986-09-01,346
1986-10-01,187
1986-11-01,187
1986-12-01,201
1987-01-01,169
1987-02-01,241
1987-03-01,245
1987-04-01,335
1987-05-01,229
1987-06-01,172
